title,author,language,publish_date,isbn,asin,description,internal_details,series,settings,characters,awards,formats
'Tis Pity She's a Whore,John Ford,English,04/12/23,,,"Ford's shocking Jacobean tragedy centers on an incestuous relationship between siblings Giovanni and Annabella, leading to a bloody climax that explores forbidden passion and moral corruption in Renaissance Italy.","Ford's shocking Jacobean tragedy centers on an incestuous relationship between siblings Giovanni and Annabella, leading to a bloody climax that explores forbidden passion and moral corruption in Renaissance Italy.",,"Italy, 17th century","Giovanni Soranzo,Annabella",,digital
A Chronicle of the Reign of Charles IX,Prosper Mérimée,French,04/12/23,,,"Mérimée's historical novel set during the 1572 St. Bartholomew's Day Massacre follows a young Protestant nobleman navigating religious violence and forbidden love, offering a vivid portrait of 16th century France torn by sectarian strife.","Mérimée's historical novel set during the 1572 St. Bartholomew's Day Massacre follows a young Protestant nobleman navigating religious violence and forbidden love, offering a vivid portrait of 16th century France torn by sectarian strife.",,"France, 16th century (reign of Charles IX)","Bernard de Mergy,Georges de Mergy",,digital
A Connecticut Yankee in King Arthur's Court,Mark Twain,English,04/12/23,,,"Twain's satirical time-travel adventure sends a pragmatic 19th century engineer back to medieval England, where his modern technology and ideas create both comedy and tragedy in a scathing critique of romanticism and social institutions.","Twain's satirical time-travel adventure sends a pragmatic 19th century engineer back to medieval England, where his modern technology and ideas create both comedy and tragedy in a scathing critique of romanticism and social institutions.",,"Medieval England, 6th century","Hank Morgan,King Arthur",,digital
A Game at Chess,Thomas Middleton,English,04/12/23,,,"Middleton's daring political allegory uses a chess match to represent the conflict between Protestant England and Catholic Spain, creating a theatrical sensation that was quickly suppressed for its controversial content.","Middleton's daring political allegory uses a chess match to represent the conflict between Protestant England and Catholic Spain, creating a theatrical sensation that was quickly suppressed for its controversial content.",,"Allegorical chessboard representing England and Spain, 17th century","Black Knight,White Knight",,digital
A Journal of the Plague Year,Daniel Defoe,English,04/12/23,,,Defoe's gripping account of London's 1665 bubonic plague combines documentary realism with compelling storytelling as his narrator witnesses the collapse of social order and human responses to catastrophe.,Defoe's gripping account of London's 1665 bubonic plague combines documentary realism with compelling storytelling as his narrator witnesses the collapse of social order and human responses to catastrophe.,,"London, 1665","H.F.,The Narrator",,digital
A Journey from This World to the Next,Henry Fielding,English,04/12/23,,,"Fielding's satirical fantasy follows the recently deceased into the afterlife, where they observe the judgment of souls and recount their earthly experiences in a witty examination of human folly.","Fielding's satirical fantasy follows the recently deceased into the afterlife, where they observe the judgment of souls and recount their earthly experiences in a witty examination of human folly.",,Afterlife and spiritual realms,Julian the Apostate,,digital
A Man and His Dog,Thomas Mann,German,04/12/23,,,"Mann's tender novella chronicles the daily walks of an aging writer and his faithful dog, creating a meditation on nature, mortality, and the simple pleasures of companionship that masks deeper philosophical reflections.","Mann's tender novella chronicles the daily walks of an aging writer and his faithful dog, creating a meditation on nature, mortality, and the simple pleasures of companionship that masks deeper philosophical reflections.",,"Rural France, early 20th century","Ulrich von Gradwitz,Georg Znaeym",,digital
A Midsummer Night's Dream,William Shakespeare,English,04/12/23,,,"Shakespeare's beloved comedy weaves together the adventures of mismatched lovers, amateur actors, and quarreling fairies in an enchanted forest, creating a magical exploration of love's transformative power.","Shakespeare's beloved comedy weaves together the adventures of mismatched lovers, amateur actors, and quarreling fairies in an enchanted forest, creating a magical exploration of love's transformative power.",,"Athens and enchanted forest, ancient Greece","Puck,Titania,Oberon",,digital
A Portrait of the Artist as a Young Man,James Joyce,English,04/12/23,,,"Joyce's semi-autobiographical bildungsroman follows Stephen Dedalus from childhood to university as he rebels against family, church, and nation to pursue his artistic vocation in revolutionary modernist prose.","Joyce's semi-autobiographical bildungsroman follows Stephen Dedalus from childhood to university as he rebels against family, church, and nation to pursue his artistic vocation in revolutionary modernist prose.",,"Ireland, late 19th to early 20th century",Stephen Dedalus,,digital
A Princess of Mars,Edgar Rice Burroughs,English,04/12/23,,,"Burroughs' groundbreaking science fiction adventure introduces Civil War veteran John Carter who is mysteriously transported to Mars, where he finds romance, allies, and enemies among the planet's exotic civilizations.","Burroughs' groundbreaking science fiction adventure introduces Civil War veteran John Carter who is mysteriously transported to Mars, where he finds romance, allies, and enemies among the planet's exotic civilizations.",,"Mars (Barsoom), early 20th century","John Carter,Dejah Thoris",,digital
A Room with a View,E.M. Forster,English,04/12/23,,,"Forster's romantic comedy follows young Lucy Honeychurch as she discovers passion in Florence and navigates the constraints of Edwardian society back in England, creating a charming exploration of authentic living.","Forster's romantic comedy follows young Lucy Honeychurch as she discovers passion in Florence and navigates the constraints of Edwardian society back in England, creating a charming exploration of authentic living.",,"England and Italy, early 20th century","Lucy Honeychurch,George Emerson",,digital
A Sentimental Journey Through France and Italy,Laurence Sterne,English,04/12/23,,,"Sterne's unconventional travelogue follows his narrator Yorick through comic and touching encounters with Europeans, focusing more on personal impressions than tourist attractions in a pioneering work of subjective travel writing.","Sterne's unconventional travelogue follows his narrator Yorick through comic and touching encounters with Europeans, focusing more on personal impressions than tourist attractions in a pioneering work of subjective travel writing.",,"France and Italy, 18th century",Yorick,,digital
A Sicilian Romance,Ann Radcliffe,English,04/12/23,,,"Radcliffe's early Gothic novel follows two sisters discovering the dark secrets of their father's castle, featuring mysterious music, unexplained disappearances, and subterranean passages in a tale of female persecution and resilience.","Radcliffe's early Gothic novel follows two sisters discovering the dark secrets of their father's castle, featuring mysterious music, unexplained disappearances, and subterranean passages in a tale of female persecution and resilience.",,"Sicily, 18th century","Julia,Ferdinand",,digital
A Tale of Two Cities,Charles Dickens,English,04/12/23,,,"Dickens' historical epic set during the French Revolution follows the interconnected fates of characters in London and Paris, building to one of literature's most famous acts of self-sacrifice amid revolutionary violence.","Dickens' historical epic set during the French Revolution follows the interconnected fates of characters in London and Paris, building to one of literature's most famous acts of self-sacrifice amid revolutionary violence.",,"London and Paris, French Revolution period (1775-1793)","Sydney Carton,Charles Darnay",,digital
A Week on the Concord and Merrimack Rivers,Henry David Thoreau,English,04/12/23,,,"Thoreau's meditative travelogue recounts a boat journey with his brother, weaving natural observation with philosophical reflection, historical anecdote, and literary reference in a transcendentalist masterpiece.","Thoreau's meditative travelogue recounts a boat journey with his brother, weaving natural observation with philosophical reflection, historical anecdote, and literary reference in a transcendentalist masterpiece.",,"New England rivers, 19th century","Henry David Thoreau,John Thoreau",,digital
